[wf_runner] Auto-generated seed: 65353
[wf] Loading available days...
[wf] 471 trading days: 2024-03-13 to 2026-03-12
[wf] Generated 41 walk-forward windows (train=45, val=15, step=10, forward=kill-gated)
[wf] First window: train 2024-03-13→2024-05-17, val 2024-05-20→2024-06-13, fwd 411d avail
[wf] Last window:  train 2025-11-19→2026-01-29, val 2026-01-30→2026-02-25, fwd 11d avail
[wf] Window 1/41 | train 2024-03-13→2024-05-17 | 0 val-tested, 0 fwd-profitable | 66s | ~2653s remaining
[wf] Window 2/41 | train 2024-04-01→2024-06-06 | 0 val-tested, 0 fwd-profitable | 58s | ~2426s remaining
[wf] Window 3/41 | train 2024-04-15→2024-06-21 | 0 val-tested, 0 fwd-profitable | 63s | ~2377s remaining
[wf] Window 4/41 | train 2024-04-29→2024-07-08 | 0 val-tested, 0 fwd-profitable | 65s | ~2337s remaining
[wf] Window 5/41 | train 2024-05-13→2024-07-22 | 0 val-tested, 0 fwd-profitable | 57s | ~2233s remaining
[wf] Window 6/41 | train 2024-05-31→2024-08-05 | 20 val-tested, 0 fwd-profitable | 54s | ~2122s remaining
[wf] Window 7/41 | train 2024-06-14→2024-08-19 | 0 val-tested, 0 fwd-profitable | 47s | ~1996s remaining
[wf] Window 8/41 | train 2024-07-01→2024-09-06 | 0 val-tested, 0 fwd-profitable | 68s | ~1977s remaining
[wf] Window 9/41 | train 2024-07-16→2024-09-20 | 0 val-tested, 0 fwd-profitable | 55s | ~1899s remaining
[wf] Window 10/41 | train 2024-07-30→2024-10-04 | 0 val-tested, 0 fwd-profitable | 55s | ~1826s remaining
[wf] Window 11/41 | train 2024-08-13→2024-10-18 | 0 val-tested, 0 fwd-profitable | 56s | ~1758s remaining
[wf] Window 12/41 | train 2024-08-27→2024-11-01 | 0 val-tested, 0 fwd-profitable | 50s | ~1678s remaining
[wf] Window 13/41 | train 2024-09-16→2024-11-15 | 0 val-tested, 0 fwd-profitable | 62s | ~1628s remaining
