date,ticker,prev_close,open,high,low,close,volume,prev_volume,vwap,n_transactions,gap_pct,gap_direction,day_return_pct,day_range_pct,max_runup_pct,max_drawdown_pct,gap_filled,vol_ratio,close_vs_open,sector,sic_code,market_cap,shares_outstanding,primary_exchange,ticker_type,float_millions,mcap_millions,dollar_volume,dollar_volume_millions,turnover_ratio,first_5m_ret,first_15m_ret,first_30m_ret,first_60m_ret,max_runup_from_open,max_dd_from_open,time_to_hod_bars,time_to_hod_pct,reversion_from_hod_pct,gap_fill_pct,first_30m_vol_pct,first_60m_vol_pct,vol_decay_ratio,first_30m_range_pct,close_in_range_pct,green_bar_pct,opening_ramp_bars,opening_ramp_body_pct,avg_bar_range_pct,intraday_error
2025-03-18,SYRS,0.0858,0.1546,0.188,0.1134,0.128,400793554,8365829,0.1448,248895,80.19,up,-17.21,48.25,21.6,-26.65,0,47.91,red,,,,,OTC Link,CS,,,58034906.619200006,58.03,,6.14,0.39,-11.25,-15.46,21.6,-26.65,2.0,0.5,-32.71,59.9,58.9,71.1,0.071,74.3,17.6,43.6,4.0,17.92,6.596,
2025-03-18,RGC,0.4868,0.7397,0.8326,0.5279,0.8316,112213240,127542972,0.6966,70262,51.95,up,12.42,41.19,12.56,-28.63,0,0.88,green,,,12119923135.08,494488908.0,XNAS,CS,494.49,12119.92,78167742.984,78.17,0.23,-9.99,-9.87,-17.57,-25.08,12.56,-28.63,328.0,99.7,0.0,83.7,29.6,41.5,0.73,62.6,100.0,44.4,1.0,6.19,3.802,
2025-03-18,PPYAW,0.01,0.015,0.015,0.015,0.015,220000,104956,0.015,5,50.0,up,0.0,0.0,0.0,0.0,0,2.1,doji,,,,,OTC Link,WARRANT,,,3300.0,0.0,,,,,,,,,,,,,,,,,,,,,insufficient_bars
2025-03-18,XONI,0.0301,0.045,0.0505,0.0386,0.047,137257,23440,0.0467,24,49.5,up,4.44,26.56,12.22,-14.33,0,5.86,green,,,,,OTC Link,CS,,,6409.9019,0.01,,7.78,4.44,4.44,4.44,12.22,-14.22,5.0,35.7,-6.93,43.0,100.0,100.0,1.0,100.0,70.6,14.3,0.0,0.0,3.095,
2025-03-18,GSDT,0.18,0.25,0.29,0.14,0.25,56293,81005,0.2302,25,38.89,up,0.0,60.0,16.0,-44.0,1,0.69,doji,,,,,OTC Link,CS,,,12958.648599999999,0.01,,0.0,16.0,0.0,0.0,16.0,-44.0,14.0,70.0,-13.79,100.0,100.0,100.0,1.0,100.0,73.3,5.0,0.0,0.0,1.892,
2025-03-18,AZURF,0.0912,0.126,0.138,0.1095,0.126,315072,102093,0.123,143,38.16,up,0.0,22.62,9.52,-13.1,0,3.09,doji,,,,,OTC Link,OS,,,38753.856,0.04,,1.43,-3.33,-1.43,-9.52,9.52,-12.86,13.0,17.8,-8.7,46.6,52.2,80.8,1.02,87.2,57.4,8.2,1.0,0.48,1.016,
2025-03-18,GVXXF,0.0312,0.043,0.043,0.034,0.0361,208027,102179,0.0363,20,37.82,up,-16.05,20.93,0.0,-20.93,0,2.04,red,,,,,,unknown,,,7551.380099999999,0.01,,-11.63,-16.05,-16.05,-16.05,0.0,-20.93,0.0,0.0,-16.05,76.3,100.0,100.0,1.0,100.0,23.3,0.0,0.0,0.0,0.155,
2025-03-18,VINC,0.829,1.14,1.22,0.7052,0.7191,24224351,38071,1.0151,79900,37.52,up,-36.92,45.16,7.02,-38.14,1,636.29,red,,,,,OTC Link,CS,,,24590138.700099997,24.59,,-3.51,-15.7,-14.74,-31.89,7.02,-38.14,0.0,0.0,-41.8,100.0,67.7,85.2,0.022,60.2,0.9,40.5,1.0,4.39,5.326,
2025-03-18,CUTRQ,0.0169,0.023,0.023,0.0133,0.018,763511,1228046,0.0164,248,36.34,up,-21.74,42.17,0.0,-42.17,1,0.62,red,,,,,,unknown,,,12521.5804,0.01,,-42.17,-37.39,-29.13,0.0,0.0,-42.17,0.0,0.0,-21.74,100.0,56.5,76.9,0.575,100.0,48.5,5.7,0.0,0.0,1.739,
2025-03-18,BNZIW,0.0199,0.0269,0.0269,0.0165,0.0175,66448,3981,0.0223,216,35.18,up,-34.94,38.66,0.0,-38.66,1,16.69,red,SERVICES-PREPACKAGED SOFTWARE,7372,,,XNAS,WARRANT,,,1481.7904,0.0,,-25.65,-6.32,-38.66,-34.94,0.0,-38.66,0.0,0.0,-34.94,100.0,97.5,100.0,1.0,100.0,9.6,21.2,0.0,0.0,3.209,
