KILL PARAMETER SWEEP SUMMARY
============================
Generated: 2026-03-19

Grid: consec_loss_kill x dd_pct_kill = 25 combos
Windows: 768

NO-KILL BASELINE:
  WR: 13.41%  |  Total PnL: $-1,364,571.50  |  Avg PnL/deploy: $-1,776.79

TOP 5 COMBOS BY TOTAL PNL:

  #1: consec=2, dd=0.1
       WR: 32.42%  |  Total PnL: $-28,239.20  |  Avg: $-36.77
       Kill triggered: 100.0%  |  Avg trades before kill: 2.7

  #2: consec=2, dd=0.15
       WR: 32.16%  |  Total PnL: $-28,924.50  |  Avg: $-37.66
       Kill triggered: 100.0%  |  Avg trades before kill: 2.8

  #3: consec=2, dd=0.2
       WR: 31.64%  |  Total PnL: $-29,838.40  |  Avg: $-38.85
       Kill triggered: 100.0%  |  Avg trades before kill: 2.8

  #4: consec=2, dd=0.25
       WR: 31.64%  |  Total PnL: $-30,332.50  |  Avg: $-39.50
       Kill triggered: 100.0%  |  Avg trades before kill: 2.9

  #5: consec=3, dd=0.1
       WR: 38.41%  |  Total PnL: $-34,354.70  |  Avg: $-44.73
       Kill triggered: 100.0%  |  Avg trades before kill: 3.9


FULL GRID (sorted by total PnL desc):
  consec   dd_pct      WR%       TotalPnL       AvgPnL  KillPct  AvgTrades
---------------------------------------------------------------------------
       2      0.1     32.4     -28,239.20       -36.77    100.0        2.7
       2     0.15     32.2     -28,924.50       -37.66    100.0        2.8
       2      0.2     31.6     -29,838.40       -38.85    100.0        2.8
       2     0.25     31.6     -30,332.50       -39.50    100.0        2.9
       3      0.1     38.4     -34,354.70       -44.73    100.0        3.9
       3     0.15     38.1     -35,195.10       -45.83    100.0        4.0
       3      0.2     37.6     -35,259.00       -45.91     99.9        4.1
       3     0.25     37.4     -37,215.80       -48.46     99.9        4.2
       4      0.1     43.2     -42,448.80       -55.27     99.9        5.5
       4     0.15     43.0     -42,806.90       -55.74     99.9        5.6
       4      0.2     42.5     -43,577.00       -56.74     99.7        5.7
       2     None     24.4     -44,541.60       -58.00    100.0        4.0
       4     0.25     42.2     -46,606.80       -60.69     99.7        5.9
       5      0.1     45.2     -64,409.10       -83.87     99.5        7.3
       5     0.15     44.9     -65,225.80       -84.93     99.5        7.4
       5      0.2     44.4     -66,204.80       -86.20     99.3        7.6
       5     0.25     44.1     -69,560.70       -90.57     99.3        7.7
       3     None     22.3     -95,909.20      -124.88     99.7        8.1
       4     None     24.0    -160,670.10      -209.21     99.0       14.6
    None      0.1     52.7    -201,282.00      -262.09     85.4       10.9
    None     0.15     52.5    -202,760.20      -264.01     85.4       11.0
    None      0.2     52.0    -204,555.30      -266.35     85.3       11.2
    None     0.25     51.7    -207,827.50      -270.61     85.3       11.5
       5     None     21.6    -247,340.90      -322.06     97.4       22.5
    None     None     13.4  -1,364,571.50    -1,776.79      0.0       None
